mark,title,price,price_adjusted,link,addr,社區,車位費,管理費,poster,養寵物,提供設備,格局,坪數,樓層,型態,id,fetched,desc,連絡電話,性別要求,城市,屋主自行刊登
,新粉刷採光好套房,11000,11000,https://rent.591.com.tw/rent-detail-12368459.html,永和區智光街,,,無,屋主: 王太太 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅",獨立套房,6坪,5F/5F,公寓,12368459,2022-04-25,"抽菸   養寵物不租   全新的整理   電視機是液晶電視  夢幻大套房一房一廳  視野佳採光好 對外窗戶    掀床   可放置換季衣服超夢幻浴室    只租愛乾淨的人   只有一間  手腳要快   離台北市車程5分鐘生活機能極佳    附近有中午和黃昏市場 數百種各種小吃房租包含  網路  第四台(共價值500元)      超便宜鄰近交通：走路到公車站2分鐘   二十多種公車，到台北市四站公車站 離四號公園，走路5分鐘，公園內有中央國家圖書館、2萬坪綠地，假日好去處。 中正路上有屈臣士,、何嘉仁書局、肯德基、麥當勞、中午及黃昏市場、數百種各種小吃，生活功能極佳， 所在樓層：五樓，水泥隔間、視野佳採光好 對外窗戶   大陽台可曬衣服者請洽王太太  0958-802-625
附近有便利商店、傳統市場、公園綠地、學校、夜市。
本房屋近中興興村公車站、永安捷運站捷運站。",0958-802-625,限女生,Taipei,yes
,捷運台北橋簡約宅走路不到五分鐘即可到家,19000,19000,https://rent.591.com.tw/rent-detail-12496371.html,三重區福德南路,,,無,屋主: 陳小姐 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 沙發, 桌椅",獨立套房,17坪,4F/4F,公寓,12496371,2022-04-25,"歡迎預約看屋，請攜帶身份證及公司名片，如有未接電話  請發簡訊或是留言，會即刻回覆。房屋特色:1.室內空間極大，方正格局，大片窗戶採光佳                  2.一房一廳一衛一小儲藏室                  3.獨立的衛浴設備，洗衣機 ，不須與他人共享                  4.名牌雙門冰箱，時尚雙人沙發，超舒適上萬元雙人床墊                  6.女生最愛大超大3門衣櫥，文青大書桌等設備生活機能: 路口有7-11 萊爾富 全家 最適合喜歡網購的你，傳統市場，三合夜市，警察局，日用品採買方便交通便利: 1.離台北橋捷運站走路5分鍾，                   2.鄰近台北橋，過個橋即是台北市，                   3.巷口即有10多台以上的公車可選擇，可到永和，新莊，台大，東區，信義區等等你想到的地方幾乎都有                   4.附近也有通往高速公路的地方(自己google一下就知道了)     PS 嚴禁養寵物 無不良嗜好 禁止吸菸  禁止拜拜 供奉神明(階會列在合約裡)
附近有便利商店、傳統市場、醫療機構、夜市。
本房屋近台北橋捷運站。",0986-851-077轉1595804,男女皆可,Taipei,yes
,一房一廳日式採光裝潢格局母親節優惠價,21888,21888,https://rent.591.com.tw/rent-detail-12480462.html,三重區重陽路三段,,,,屋主: 查先生 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅",獨立套房,16坪,2F/5F,公寓,12480462,2022-04-25,"【房型】1房1廳1衛【坪數】16坪【樓層】2樓【生活機能】近傳統市場、便利商店、85度C、鄰近學校:修德國小、明志國中，附近機能完善【交通便利】大眾運輸公車「修德國小」211、261、986、1070、1212、橘25「六張街口」274、662，附近捷運三重國小站、捷運菜寮站(走路約15分鐘騎車約2分鐘)【套房設備】選用乾濕分離凱薩衛浴、獨立桶雙人彈簧床、廚房檯面進口人造石、實木進口傢俱、冷氣、冰箱、熱水器、東元洗衣機、東元液晶電視【套房特色】屋內寬敞明亮，採光好、包含水費，附第四台、無線Wi-Fi(網速:100M)、獨立電子門鎖安全性高、獨立儲值電表、公共設施安全監事管理消防設施、防火耐刮木質地板、隔音佳、大門選定防火硫化銅門，人身安全保障，讓您住的安心【特別備註】網路費及第四台需外加500元【嚴選房客】•不得聚賭、吸毒、嗑藥、酗酒、開趴、擾鄰、色情行業，一經發現立即報警處理並以違約論處理•不養寵物、釘釘子(­破壞牆面)、設置神明廳及燒香•入住者需經當地管區查詢有無被通緝或犯罪紀錄並流動管理登記為了提供您的居住品質及安全，敬請見諒，謝謝您的配合有意者洽電0918-989-993我們用一顆真誠的心，來歡迎您入住本溫馨商務套房
附近有便利商店、傳統市場、公園綠地、學校、醫療機構。
本房屋近修德國小公車站、三重國小捷運站。",0918-989-993,男女皆可,Taipei,yes
,捷運新埔站文化中心旁莒光商圈,23000,23000,https://rent.591.com.tw/rent-detail-12347868.html,板橋區莊敬路,,,無,屋主: 張先生 (仲介勿擾),No,"冷氣, 天然瓦斯, 1陽台",2房2廳1衛,24坪,2F/4F,公寓,12347868,2022-04-25,"新埔捷運站4號出口步行5分鐘內, 江子翠捷運站3號出口步行10分鐘內莊敬路、莒光路上有各式商店、餐廳附近有新埔市場 (步行10分鐘內)、埔墘市場 (步行20分鐘內)近中山公園、八德公園學區有莒光國小、江翠國中位於文化中心旁, 有圖書館、藝文展演, 安靜不吵鬧2房2廳1衛, 每個房間皆有窗戶, 採光佳通風好有廚房, 可開伙空屋出租, 附2台冷氣, 適合有自己傢俱、家電的房客全屋整理過, 電線、開關、電燈全都換新, 屋況明亮乾淨屋內不可養寵物歡迎來電預約看屋透過LINE ID: yjeffre 可以加好友
附近有便利商店、傳統市場、公園綠地、學校。
本房屋近新埔捷運站、江子翠捷運站。",0965-333-657,男女皆可,Taipei,yes
,(準備簽約)景安捷運邊間時尚裝潢家具全,28800,29000,https://rent.591.com.tw/rent-detail-12356148.html,中和區景新街285巷,,,200元/月,屋主: 江小姐 (仲介勿擾),,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 沙發, 桌子, 2陽台",3房1廳2衛,30坪,4F/4F,公寓,12356148,2022-04-25,"找~愛屋房客~超級搶手貨~您還在等什麼？！精緻裝潢、方正格局、超大客廳、交通便利、邊間公寓，三面採光(每個房間都有窗戶喔！)、通風舒適、安靜悠閒！生活機能一極棒！家具一應俱全、電器通通有！可養寵物、可開伙！帶著您的隨身衣物即可入住！特色說明 ★近景安及南勢角捷運站，捷運步行約5分鐘，巷外即有公車站、台64線等，開車約5分鐘即可上北二高，交通超便捷。 ★3房1廳2衛，格局方正邊間美寓，前後皆有大陽台，採光好，又通風！鬧中取靜！相當舒服的好環境喔！★巷內外皆有錄影機，居家安全有保障。★近捷運、小學、便利商店、大潤發、市場、醫院、汽機車停車場…等，生活機能非常方便~ ★附整套廚具、微波爐、烘碗機、冰箱、冷氣、熱水器、書櫃、衣櫥、床具、洗衣機、大型液晶電視(2台)、全新沙發等。 ★ 獨特主臥尊榮梳化空間，讓妳有明星般的享受！★最適合單身貴族，兩人小窩或姊妹淘、同事等一起同住喔！。最好的房子~只給有品味的您！意洽： 江小姐 0913-334-099 (請直接電聯約看)屋主自租~仲介勿擾！
附近有便利商店、傳統市場、學校、醫療機構、夜市。
本房屋近景安捷運站、南勢角捷運站。",0913-334-099,,Taipei,yes
,前後雙陽台、採光通風大空間、機能佳,28800,28800,https://rent.591.com.tw/rent-detail-12480234.html,板橋區大智街25巷,,,無,屋主: 鄭先生 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅, 2陽台",2房2廳1衛,26坪,頂層加蓋/4F,公寓,12480234,2022-04-25,"住戶嚴格篩選，須有正當職業。優質房客，才有良好居住品質租屋優惠一年：28800兩年：27800【配備說明】＊  每個月只要繳　租金＋電費  1度5元 簡單明瞭　＊＊  租金包含：免費100MB中華電信高速光纖網路、室內免費WiFi無限上網。每個月幫您省下999元網路費＊＊  包含第四台每個月500元；生活用水每人幾百元，幫大家省荷包。＊＊  兩房兩廳一衛兩陽台，採光通風佳。＊＊  獨立筒床墊、42  LED 電視、高質感廚具、單門冰箱、高級衛浴、精美大衣櫃、      高質感調光窗簾、工藝感小茶几、電熱水器…等，一應俱全，一卡皮箱就可入住。＊＊  全室LED省電燈泡，節能環保低電費。＊＊  安全有保障，公共空間走道24小時監控，守護房客安全。＊＊  獨立洗衣機，乾淨衛生，洗衣不必排隊。＊＊  獨立曬衣空間。＊【居住環境】＊  嚴格篩選房客，住的安心又舒服。＊＊  對環境超講究，公共衛生優質管控，走道安全監控。＊＊  近板橋站前公園，生活機能完整 。＊＊  走路1分鐘就到便利商店、公園，有Ubike可騎乘，生活便利。＊＊  走路10-15分鐘就到府中、板橋捷運站，上班免騎機車。＊＊  近公車站牌，多一個通勤的選擇。＊＊  騎車5分鐘就到新板特區、大遠百、誠品、環球購物中心。逛街、購物、看電影超方便。＊＊近世界健身房，讓您運動快速又便利＊【條件限制】＊  房東要求住戶生活品質，需有正當職業；簽約請帶身份證、工作證、名片。＊  全部裝潢皆精心設計，不良嗜好及影響其它房客生活者勿擾。＊  限制條件：吃檳榔、抽煙、賭博、酗酒、開轟趴、養寵物、八大行業者恕無法承租。歡迎來電預約看屋！！
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近府中捷運站、板橋捷運站、板橋火車站。",0986-452-345,男女皆可,Taipei,yes
,副都心面公園★機捷兩房含傢俱家電★,30000,34500,https://rent.591.com.tw/rent-detail-12470596.html,新莊區新北大道四段,不貳館,費用另計,"2,000元/月",仲介: 李先生 (收服務費),No,"冰箱, 洗衣機, 冷氣, 熱水器, 床, 衣櫃, 天然瓦斯, 桌椅, 2陽台, 電梯, 平面車位",2房1廳1衛,41.77坪,8F/24F,電梯大樓,12470596,2022-04-25,"歡迎點選頭像旁進入《我的店舖》選擇更多相關房源現況坪數為權狀坪數買賣房屋請給維軒一次服務的機會！維軒努力為您成家圓夢！買賣房屋請指名→☎住商維軒．廣告量最大、客源最多、成交量最大！新北市地產開發有限公司經紀人：黃珮璇(103)新北經字第002972號預約看屋:李先生0962-080-000(小李)LINE:blue00722住商不動產新莊副都心中原加盟店。 
本房屋近捷運副都心站捷運站。",0962-080-000,男女皆可,Taipei,no
,近徐匯捷運站三民高中站9000元,9000,9000,https://rent.591.com.tw/rent-detail-12411004.html,蘆洲區中山二路,,,無,屋主: 高先生,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 桌椅",獨立套房,7坪,4F/5F,公寓,12411004,2022-04-25,"合法變更套房 電費每度5元汽機車 停車方便生活機能佳  近7-11湧蓮寺夜市.傳統市場.便利商店.多家醫療診所 多條公車線交通方便，公共區附設置落地式飲水機，可掀式床底收納方便
附近有便利商店、傳統市場、公園綠地、醫療機構、學校、夜市。",0961-057-820,男女皆可,Taipei,yes
,全新裝潢、獨立陽台、採光通風好宅❤️,17800,17800,https://rent.591.com.tw/rent-detail-12483995.html,板橋區大智街25巷,,,無,屋主: 鄭先生 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅, 陽台",獨立套房,10坪,4F/4F,公寓,12483995,2022-04-25,"住戶嚴格篩選，須有正當職業。優質房客，才有良好居住品質租屋優惠一年：18800兩年：17800【配備說明】＊  每個月只要繳　租金＋電費  1度5元 簡單明瞭　＊＊  租金包含：免費100MB中華電信高速光纖網路、室內免費WiFi無限上網。每個月幫您省下999元網路費＊＊  包含第四台每個月500元；生活用水每人幾百元，幫大家省荷包。＊＊  一房一廳一衛一陽台，採光通風佳。＊＊  獨立筒床墊、42  LED 電視、高質感廚具、單門冰箱、高級衛浴、精美大衣櫃、      高質感調光窗簾、工藝感小茶几、不挑鍋電磁爐、電熱水器…等，一應俱全，一卡皮箱就可入住。＊＊  全室LED省電燈泡，節能環保低電費。＊＊  安全有保障，公共空間走道24小時監控，守護房客安全。＊＊  獨立洗衣機，乾淨衛生，洗衣不必排隊。＊＊  獨立陽台曬衣空間。＊【居住環境】＊  嚴格篩選房客，住的安心又舒服。＊＊  對環境超講究，公共衛生優質管控，走道安全監控。＊＊  近板橋站前公園，生活機能完整 。＊＊  走路1分鐘就到便利商店、公園，有Ubike可騎乘，生活便利。＊＊  走路10-15分鐘就到府中、板橋捷運站，上班免騎機車。＊＊  近公車站牌，多一個通勤的選擇。＊＊  騎車5分鐘就到新板特區、大遠百、誠品、環球購物中心。逛街、購物、看電影超方便。＊＊近世界健身房，讓您運動快速又便利＊【條件限制】＊  房東要求住戶生活品質，需有正當職業；簽約請帶身份證、工作證、名片。＊  全部裝潢皆精心設計，不良嗜好及影響其它房客生活者勿擾。＊  限制條件：吃檳榔、抽煙、賭博、酗酒、開轟趴、養寵物、八大行業者恕無法承租。歡迎來電預約看屋！！
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近府中捷運站、板橋捷運站、板橋火車站。",0986-452-345,男女皆可,Taipei,yes
,住得舒服副都心-商旅精緻裝潢,10000,10000,https://rent.591.com.tw/rent-detail-12441939.html,新莊區中港路,,,,屋主: 郭先生 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅",分租套房,7坪,5F/5F,公寓,12441939,2022-04-25,"{舒心的窩}現代出外人上班工作忙碌,下班必須有一個可以紓解緊繃神經放下疲勞安心休息放空的舒適居所,請看看我們&quot;舒心的窩&quot;之許多優點......1.精緻舒服的設計...木工裝潢大書桌.衣櫥.鞋櫃.浪漫造型天花板.可掀儲物式雙人床.可攤平式沙發.三切式氣氛照明.分離式花灑蓮蓬衛浴.象牙白氣密窗.厚層阻光窗簾.大地板瓷磚......2.貼心周全的設備...七年保固分離式冷氣.32&quot;AOC液晶電視.東元小鮮綠冰箱.免費有線電視.免費光纖網路.免費WIFI.免水費.8加侖儲水式熱水器.象牙白硫化銅門.專用電錶.洗衣機......3.安全便捷的環境...舒心的窩位於副都心正中央,面對塭仔底生態公園視野無阻擋,背對中信國小環境單純,旁鄰副都心捷運站(8站到第一航廈,4站到台北車站)交通便利,後近行政院合署辦公大樓步行可辦事,200公尺中港消防分隊300公尺中平派出所安全有保障,每晚17:45, 星期一·四20:10垃圾車一樓門口超方便,路口小北佰貨,便利超商,附近全聯,傳統市場(步行2分鐘中信國小.3分鐘塭仔底生態公園,5分鐘副都心捷運站,7分鐘行政院合署辦公大樓)......4.鄰近休閒設施......幸福路商圈,福壽街夜市,WorldGym健身俱樂部,輔大醫院,太魯閣棒壘球打擊場,UNIQLO,家樂福,IKEA,Costco,新莊國民運動中心,新莊棒球場(富邦悍將主場)......5.房東人很好住樓上,尋找有緣珍惜房子優質的房客......6.五樓要爬樓梯但樓梯寬敞不陡每週有清潔工打掃很乾淨......                    歡迎來看看附近有便利商店、傳統市場、公園綠地、學校、醫療機構、夜市。本房屋近中原里公車站、副都心捷運站。...
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近中原里公車站、副都心捷運站。",0930-999-989,男女皆可,Taipei,yes
