mark,title,price,price_adjusted,link,addr,社區,車位費,管理費,poster,養寵物,提供設備,格局,坪數,樓層,型態,id,fetched,desc,連絡電話,性別要求,城市,屋主自行刊登
,北投雙全街鄰近新北投捷運站(電梯大樓),15000,15350,https://rent.591.com.tw/rent-detail-12461604.html,北投區雙全街3號,南陽大樓,,350元/月,屋主: 李先生 (仲介勿擾),No,"冷氣, 熱水器, 電梯",2房1廳1衛,16坪,5F/6F,電梯大樓,12461604,2022-04-25,"1.屋主自租電梯華廈出租樓層5樓、有廚房可開伙、16坪、不可養寵物、身份要求家庭式、租金不含管理費2.生活機能:超商、超市、傳統市場、手機行、各式餐廳、眼鏡行、公園綠地、籃球場、汽機車保修廠、銀行、學校之類等等靠近中和街生活機能應有盡有3.交通:鄰近新北投捷運站步行3分鐘抵達、旁邊中和街公車站4.看屋可聯絡李先生0932-032-571若聯繫不到李先生，可連絡林先生0919-001-046(Line是林先生的，要看屋可加Line)
附近有便利商店、傳統市場、公園綠地、學校、醫療機構。
本房屋近中和街公車站、新北投捷運站捷運站。",0932-032-571,男女皆可,Taipei,yes
,古亭捷運站【牯嶺公園旁】五星級雅房～限女,6500,6500,https://rent.591.com.tw/rent-detail-12234979.html,中正區廈門街123巷10號,,,,屋主: 蔡小姐 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 天然瓦斯, 沙發, 桌椅",雅房,5坪,1F/5F,公寓,12234979,2022-04-25,"★安全★安靜★乾淨★   ★即日起租★古亭捷運站★牯嶺公園★全新五星級★限女性★★免費120M/40M★寬頻高速飆網★免費第4台★          ★免費洗衣機★免費烘衣機★★免費專人公共空間清潔與倒垃圾服務★ ★僅有一房★把握機會★預約看屋★捷足先登★適合對象：學生、上班族★僅租6500元★水電500元★把握機會。(房東未與房客同住)，希望安全第一，大家住得安心，家長都可以放心。古亭捷運站。全新五星級。優質雅房。 與國防部長為鄰.台大.師大.師院.東吳.文教生活圈。地址:北市廈門街123巷10號之1號   格局 5房1廳3衛   坪數 5坪   公園旁.機車車格.停車便 　百萬全新五星裝潢 ,30線公車直通台北各角落.       臨台大.教大.師大.東吳.政大.師大全新裝璜：附冷氣,中央空調,電視,冰箱,飲水機微波爐.有第四台,比飯店還舒適。特性:1刷卡進出   2防火格局   3監視錄影   4免費寬頻   5全新裝璜   6生活機能棒7附電腦桌,衣櫥,床組, 大客廳.洗衣房.（有洗衣機、烘衣機）全新衛浴★ 僅 租  6500元★水電500元★(租金含專人公共空間清潔與倒垃圾服務)每位房客房東皆有特別過濾(房東未與房客同住)，希望安全第一，大家住得安心，家長都可以放心.快洽0906-698-613。蔡小姐。
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近30線公車站、古亭公車站、古亭捷運站、中正紀念堂捷運站、台北火車站、台北高鐵火車站。",02-25569017,限女生,Taipei,yes
,【台北車站特區】京站旁～電梯五星雅房限男,7500,7500,https://rent.591.com.tw/rent-detail-12453570.html,大同區承德路一段51號,,,無,屋主: 陳先生,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 天然瓦斯, 桌椅, 電梯",雅房,5坪,8F/12F,電梯大樓,12453570,2022-04-25,"●~~~~~~~~~ ★★ 即日起租★★僅一房★★限男性★★ ~~~~~~~~~●★免費 120M/40M 光纖高速寬頻極速飆網 ★★免費洗衣機★免費第四台★★清潔垃圾服務 ★把握機會  ★預約看屋  ★捷足先登★４０線公車直通台北各角落，近台北車站捷運站，統聯客運旁。全新裝璜附冷氣，中央空調飲水機有第四台.微波爐...比大飯店還舒適~★價格：月租僅7500元。(管理費500元，含專人公共空間清潔與倒垃圾服務及大樓管理費)★類型：全新優質雅房 ★坪數：5坪 ★屋齡：1年 ★適合對象：限男性。學生、上班族。★豪華設備：1.飲水機   2.微波爐  3.洗衣機  4.烘衣機  5.全新衛浴★房間內附：1.冷氣機+液晶電視 2.電腦書桌 3.床組 4.警示燈 5.緊急呼叫鈕6.滅火器★特性： 1.全新百萬六星裝潢。把握機會。捷足先登。 2.單純。寧靜。有窗戶。  3.視野特好、採光特佳  4.每位房客房東皆有特別過濾   5.房東未與房客同住。  6.免費 120M/40M 光纖高速寬頻極速飆網。 7.防火格局。 8.刷卡進出。★【安全第一，住得安心，家長都可以放心。】★　★快洽 02-25599219 陳先生。★
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近台北車站公車站、百線公車站、台北車站捷運站、台北車站火車站。",02-25599219,男女皆可,Taipei,yes
,歡迎美容美甲美體工作室進駐!,19500,19500,https://rent.591.com.tw/rent-detail-12343809.html,中山區長安東路一段52號,,,,仲介: 陳先生,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅, 電梯",分租套房,15坪,7F/7F,電梯大樓,12343809,2022-04-25,本房屋近松江南京捷運站、中山捷運站、善導寺捷運站。,0938-611-923,男女皆可,Taipei,no
,台北車站【五星飯店式】獨棟電梯~獨立套房,15000,16000,https://rent.591.com.tw/rent-detail-12453561.html,大同區延平北路一段69巷13號,獨棟電梯~獨立套房,,"1,000元/月",屋主: 陳先生,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅, 電梯",獨立套房,6坪,5F/5F,電梯大樓,12453561,2022-04-25,"～台北車站特區～五星飯店式管理～享受安靜、安全、乾淨的套房～～到台北～住台北車站特區～五鐵捷運便利交通網～【Dream House ～ 五星客房配備貼心服務】～全新～獨棟～邊間～電梯～純住宿～【最安全】～女性櫃檯服務員～【最乾淨】～免治馬桶座～(熱墊～熱沖～熱烘)～免費收垃圾服務～【最安靜】～正市中心～鬧中取靜～日式一巷居～【最超值】～免費光纖網路、WI-FI、第四台～【最舒適】～有回家的感覺～～提著你的行李～帶著你的筆電～趕快預約入住～【Dream House ～ 每間房內貼心獨立設備】1.房內32吋液晶大電視～2.免治馬桶座(熱墊、熱沖、熱烘)～3.小流理台～附微波爐、電熱壺、檯燈～4.房內獨立冷氣、洗衣機、冰箱、梳妝台～5.雙人床掀床、衣櫥～6.免費光纖網路、WI-FI、第四台～7.浴室乾溼分離【Dream House ～ 地段特色】～享受五星商務套房的規格～安　　靜：四大街廓 ，鬧中取靜的一巷居，越晚越安靜。舒　　適：一樓挑高迎賓大廳、二樓公用空間與免費烘衣機及飲水機、頂樓空中花園。方　　便：交通超便利（公車站1分、捷運站5分），臨公園、超商、市場、銀行、百貨公司等商圈。地段特佳：1.離北門捷運站5分鐘 (當您到達北門捷運站3號出口→斜對面杏一藥局→沿市民大道走→延平北路一段左轉→69巷右轉即到達。)2.台北地下街Y21號走樓梯上來，沿著延平北路一段100M即到達。3.離台北車站、台北轉運站、台北高鐵站8分鐘。生活機能：近頂好、全聯超市、摩斯漢堡、麥當勞、肯德基（便利生活圈）。百貨商圈：近新光三越、衣蝶百貨、中山捷運大街、台北地下街、站前大街。最佳學區：參加北市各項考試、補習最佳住宿地點。最佳商圈：補習班商業特區、站前商圈、寧夏夜市、華陰街批發、迪化街批發。【Dream House ～ 安全設施】1-第一.二道大門刷卡、辨識系統出入。2-女性櫃台服務服務。3-24小時監視及消防系統。4-煙霧偵測及個人防煙面罩安全系統。～國內預約電話：【02-2556-9419】～～國外預約電話：【+886-2-2556-9419】～租房詢問MAIL信箱：dreams_house@ymail.com
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近台北車站公車站、百線台北車站公車站、北門捷運站、機場捷運台北A6捷運站、台北高鐵火車站。",02-25569419,男女皆可,Taipei,yes
,松江南京站【松江公園旁】五星級雅房★限女,6500,6500,https://rent.591.com.tw/rent-detail-12403808.html,中山區松江路64巷10號,,,,屋主: 蔡小姐 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅",雅房,5坪,1F/5F,公寓,12403808,2022-04-25,"★邊間，採光特佳★●~~~~~~~~~ ★★即日起租★★僅一房★★限女性★★ ~~~~~~~~~●★免費120M/40M 光纖高速寬頻極速飆網★免費洗衣機★免費烘衣機★★免費第四台★免費清潔垃圾服務★★把握機會★預約看屋★捷足先登★★★※物件介紹：地址：臺北市松江路64巷10之1號一樓　松江南京捷運站、松江公園、長榮桂冠六星級飯店正對面。一樓全新、全新裝璜附冷氣、中央空調飲水機有第四台.微波爐...比大飯店還舒適~★價格：月租僅6500元。水電500元。租金含專人公共空間清潔與倒垃圾服務)★類型：全新優質雅房★格局：5房3衛1廳★坪數：5坪★適合對象：限女性。學生、上班族。★豪華設備：1.電視2.冰箱3.冷氣4.飲水機5.微波爐6.洗衣機7.烘衣機8.全新衛浴★房間內附：1.電腦書桌2.衣櫥6.床組3.警示燈4.緊急呼叫鈕5.自動照明6 .滅火器★特性：1.五星級.優質雅房。把握機會。捷足先登。2.全新百萬裝潢。單純。寧靜。3.公園旁、空氣佳。4.停機車便利。合法機車停車格。5.每位房客房東皆有特別過濾。6.房東未與房客同住。7.免費 120M/40M 光纖高速寬頻極速飆網。8.刷卡進出。9.防火格局。10.監視錄影。每位房客房東皆有特別過濾(房東未與房客同住)，希望安全第一，大家住得安心，家長都可以放心.快洽0906-698-613。 蔡小姐
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近松江南京公車站、松江南京公車站、30線公車站、松江南京捷運站、忠孝新生火車站。",02-25569017,限女生,Taipei,yes
,師大永康五星時尚套房,13800,13800,https://rent.591.com.tw/rent-detail-12400382.html,大安區永康街8巷,,,,屋主: 李小姐 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 天然瓦斯, 桌椅",分租套房,7.5坪,4F/4F,公寓,12400382,2022-04-25,"師大永康五星時尚套房五星麗緻裝璜、水泥隔間、拋光石英磚、高級柚木地板 頂級歐式衛浴、板岩壁磚、蓮蓬淋浴組．高雅時尚風 寧靜文教區、近金華國中、淡江城區部、政大城區部、師範大學 通風超好、採光絕佳、生活機能強、人文氣息濃、外籍名流圈 緊鄰永康公園、近大安森林公園、信義捷運東門站、交通便捷 整套傢俱掀床、電腦桌、馬鞍皮椅、雙門衣櫃 、電視櫃 新穎家電、冷氣機、冰箱、液晶電視機、專屬洗衣機、熱水器 租金含自來水、寬頻網路、有線電視、瓦斯、公用電費 租屋極品、可遇不可求、歡迎來電看屋 限正職上班族或學生   男女生皆可 歡迎電洽看屋  李小姐 0900460988    李先生 0936925162   
附近有便利商店、傳統市場、公園綠地、學校、醫療機構、夜市。
本房屋近大安森林公車站、東門市場公車站、金華國中公車站、東門捷運站、中正紀念堂捷運站、台北火車站。",0900-460-988,男女皆可,Taipei,yes
,國館整層30坪101世貿站市政府信義商圈,33900,33900,https://rent.591.com.tw/rent-detail-12404126.html,信義區光復南路473巷11弄29號,,,無,代理人: 林小姐,,,2房2廳1衛,31坪,4F/4F,公寓,12404126,2022-04-25,"【房屋狀況】 ** 重新整理中（油漆/壁紙/水電）4/25放新照片 **樓層：4F／4F公寓　坪數：30.2坪（實坪無公設）格局：2房2廳1衛（可隔3房、原3房2廳1衛）可開伙、可養寵物住家或辦公室皆適宜【租屋說明】　　***免仲介費***租金：$33,900／月　水電費：依台電台水標準收取押金：2個月　最短租期：一年，可隨時遷入【生活機能 ＆ 周邊設施】旁有公園綠地、鄰近7-11、全家附近有國泰醫院、信義商圈、台北101、微風南山步行2分鐘到公車信義光復路口站、10分鐘到國父紀念館（800m）步行6分鐘到台北101/世貿站（400m）、8分鐘到信義安和站（650m）步行6分鐘到光復市場（500m）、12分鐘到臨江夜市（900m）
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近信義光復路口公車站、台北101/世貿捷運站、信義安和捷運站。",02-27505036,,Taipei,no
,靠近古亭捷運全新套房,9800,9800,https://rent.591.com.tw/rent-detail-12494090.html,中正區南昌路二段164號,,,無,屋主: 許先生 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 桌椅",獨立套房,5坪,3F/5F,公寓,12494090,2022-04-25,"本出租房位於捷運中和線與新店線交會點之古亭站旁 ,接受短期租屋客,房租另讛
附近有便利商店、學校、夜市。
本房屋近古亭捷運站捷運站。",0937-458-235,男女皆可,Taipei,yes
,南京林森商圈2+1房工作室,21000,22050,https://rent.591.com.tw/rent-detail-12407030.html,中山區林森北路,,,"1,050元/月",仲介: 傅小姐 (收服務費),No,"冷氣, 熱水器, 電梯",2房1衛,16.28坪,3F/12F,電梯大樓,12407030,2022-04-25,"晶華商圈林森公園秀泰影城欣欣百貨工作室、生活便利東鑫不動產經紀有限公司證號(90)北市經證字第340號
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近中山捷運站。",0928-838-839,男女皆可,Taipei,no
