,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
10,文山區,房地(土地+建物),臺北市文山區景興路２３７號十二樓,5.43,商,,,1110127,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840802,60.09,1,2,1,有,有,12000000,199700,,0.0,0,陽台外推；,RPWNMLQKLHHGFAA77DA,49.18,2.03,5.54,有,
17,萬華區,房地(土地+建物)+車位,臺北市萬華區西園路一段８０號五樓,8.98,商,,,1110212,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961119,112.41,2,2,1,有,有,19800000,181404,坡道機械,11.53,1500000,陽台外推；,RPTNMLTJLHHGFBA77DA,57.67,3.82,7.17,有,
19,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０５號二十二樓之７,5.2,商,,,1110206,土地1建物1車位1,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,105.25,2,1,1,有,有,17800000,216601,坡道平面,33.69,2300000,,RPVPMLPKLHHGFBA87DA,40.7,1.28,5.23,有,5.0
22,內湖區,房地(土地+建物),臺北市內湖區大湖山莊街１７６巷１８號七樓,30.33,住,,,1101018,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,134.26999999999998,2,2,2,有,有,30720000,228793,,0.0,0,,RPPQMLRKKHHGFCA57DA,74.82,4.46,10.63,有,8.0
24,中山區,房地(土地+建物),臺北市中山區松江路１１８號十八樓之５,8.08,商,,,1080806,土地2建物1車位0,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,125.31,2,2,2,有,有,55749364,444892,,0.0,0,1.總價含工程加帳＄49364元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPOPMLNLKHHGFCA07DA,75.8,0.0,2.34,有,
29,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段９號八樓,18.54,住,,,1110123,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,154.98000000000002,1,2,2,有,有,42000000,321676,坡道平面,33.74,3000000,,RPUQMLNJLHHGFCA67DA,67.08,9.75,4.35,有,
42,中山區,房地(土地+建物),臺北市中山區錦州街５０號七樓之１９,5.27,商,,,1110110,土地3建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,58.73,2,1,1,有,有,9900000,168568,,0.0,0,陽台外推；,RPSPMLRKLHHGFCA87DA,40.65,0.0,6.08,有,18.0
43,內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段４５０巷２２弄１０號十四樓、１４號十四樓,33.35,住,,,1110213,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870925,199.0,5,3,2,有,有,41300000,239130,坡道平面,38.0,2800000,,RPSQMLRKLHHGFCA97DA,106.96,0.0,15.47,有,
48,南港區,房地(土地+建物)+車位,臺北市南港區園區街８號十樓之１,16.88,住,,,1110116,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980611,112.43,2,2,1,有,有,28100000,272158,坡道機械,16.53,2000000,,RPUOMLPLKHHGFDA87DA,54.78,5.7,5.66,有,19.0
66,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２７號七樓,34.94,住,,,1101215,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,224.43,3,2,2,有,有,54880000,271239,坡道平面,30.21,2200000,,RPUOMLPLKHHGFEA97DA,111.16,5.7,9.76,有,
78,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２９號四樓,33.7,住,,,1101217,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,218.09,3,2,2,有,有,50260000,253673,坡道平面,30.21,2600000,,RPRNMLQKLHHGFEA67DA,104.01,10.5,7.99,有,
79,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號十一樓,40.04,住,,,1101216,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,282.90999999999997,4,2,2,有,有,66200000,275967,坡道平面,60.42,4800000,,RPTNMLQKLHHGFEA87DA,124.72,5.7,14.67,有,
80,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２７號十一樓,38.65,住,,,1110107,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,275.19,4,2,2,有,有,63080000,273223,坡道平面,60.42,4400000,,RPUNMLQKLHHGFEA97DA,118.63,5.7,15.72,有,
95,中山區,房地(土地+建物),臺北市中山區南京東路三段１０６號十二樓,15.88,商,,,1110110,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,167.74,0,0,0,無,有,68900000,410755,,0.0,0,毛胚屋；,RPPOMLQKLHHGFCA47EA,90.43,6.38,8.97,有,
96,中山區,房地(土地+建物),臺北市中山區林森北路４１３號十樓之６,6.29,商,,,1110123,土地3建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,66.03,2,2,1,有,有,10530000,159473,,0.0,0,,RPOPMLRKLHHGFCA57EA,50.89,0.0,3.01,有,31.0
106,南港區,房地(土地+建物),臺北市南港區八德路四段８７１號十五樓之４,4.71,商,,,1110221,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,43.72,1,1,1,有,有,8700000,198948,,0.0,0,,RPSQMLLLKHHGFDA57EA,22.89,2.42,5.03,有,
107,松山區,房地(土地+建物)+車位,臺北市松山區敦化北路１５５巷１００弄１６號九樓之１,69.55,住,,,1110115,土地4建物1車位2,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881022,350.03,4,2,2,有,有,123880000,353913,坡道平面,72.68,0,,RPTNMLKKLHHGFDA27EA,192.18,0.0,19.76,有,
110,北投區,房地(土地+建物)+車位,臺北市北投區天母西路１１５號十九樓,51.29,商,,,1110210,土地2建物1車位3,十九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081226,398.55,0,2,4,有,無,97880000,335150,坡道平面,130.68,8100000,毛胚屋；,RPQOMLOJJIGGFEA27EA,149.21,13.88,15.27,有,
114,北投區,房地(土地+建物),臺北市北投區中和街３６６號八樓之６,11.51,,,,1110124,土地1建物1車位0,八層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870624,101.99,3,2,1,有,有,8000000,78439,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVPMLQKLHHGFEA38EA,78.68,1.46,8.55,有,
119,大安區,房地(土地+建物)+車位,臺北市大安區信義路四段２５８號十五樓,10.7,商,,,1110309,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711106,187.73,3,2,2,有,有,50000000,266340,坡道平面,0.0,0,陽台外推；頂樓加蓋；,RPTNMLRKLHHGFFA18EA,155.55,0.0,10.55,有,
140,中山區,房地(土地+建物)+車位,臺北市中山區林森北路５８５號十一樓之６,16.36,商,,,1110305,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,188.38,3,2,2,有,有,40620000,248794,坡道平面,39.18,3500000,,RPVPMLMLKHHGFCA77EA,88.24,0.0,11.27,有,
144,內湖區,房地(土地+建物)+車位,臺北市內湖區潭美街１１７號十一樓之１,41.8,住,,,1110130,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990315,224.71,3,2,2,有,有,41500000,184682,坡道平面,32.4,0,,RPROMLSKLHHGFCA87EA,109.48,5.38,12.26,有,
148,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段２６５號十一樓之３,12.44,商,,,1110123,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050601,142.07,1,2,1,有,有,34600000,278525,坡道平面,26.82,2500000,,RPWNMLOKKHHGFCA77EA,72.11,0.0,4.64,有,52.0
149,中山區,房地(土地+建物)+車位,臺北市中山區雙城街１３巷９號八樓之１,18.95,商,,,1101224,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010327,249.25,4,2,2,有,有,53000000,238515,坡道平面,39.62,3000000,其他增建；,RPSNMLOKKHHGFCA37EA,121.82,6.37,13.33,有,
159,大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段４５２號,32.4,住,,,1101205,土地1建物1車位2,一層，夾層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,256.44,1,2,2,有,有,62500000,322766,坡道平面,82.32,6300000,,RPVNMLOKLHHGFFA97DA,113.11,0.0,6.21,有,
166,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１１號四樓,19.85,住,,,1070912,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,139.38,2,1,1,有,有,16700000,152430,坡道平面,41.63,1800000,本案係預售屋109年07月01日換約金額新台幣18400000元正,RPRPMLLKLHHGFEA37DA,53.32,2.47,8.03,有,
168,北投區,房地(土地+建物)+車位,臺北市北投區承德路七段３８８號十六樓,31.13,住,,,1110301,土地1建物1車位2,十六層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841221,264.58,4,2,2,有,有,41500000,156852,坡道平面,0.0,0,,RPQNMLLKLHHGFEA07DA,142.73,3.75,22.02,有,64.0
169,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷３號十六樓,17.24,住,,,1080106,土地1建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,94.15,2,1,1,有,有,15970000,169623,,0.0,0,本案係預售屋,RPQPMLPLKHHGFEA67DA,51.54,2.05,7.86,有,
170,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷５號十樓,21.68,住,,,1070910,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,148.87,2,1,1,有,有,20680000,170459,坡道平面,41.63,2400000,本案係預售屋,RPSPMLPLKHHGFEA87DA,56.29,5.18,8.52,有,
171,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１３號十五樓,23.77,住,,,1070828,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,160.54000000000002,2,2,2,有,有,23700000,181566,坡道平面,41.63,2110000,本案係預售屋,RPVQMLPLKHHGFEA28DA,65.09,6.11,6.42,有,
